import time: self [us] | cumulative | imported package
import time:     16882 |      16882 |             starlette.background
import time:     12252 |      29134 |           fastapi.background
import time:     17658 |      17658 |           fastapi.concurrency
import time:     16424 |      16424 |           fastapi.utils
import time:      1571 |       1571 |               _hashlib
import time:        96 |         96 |               _blake2
import time:      2301 |       3966 |             hashlib
import time:      1123 |       1123 |               _winapi
import time:       789 |        789 |               winreg
import time:      1443 |       3355 |             mimetypes
import time:       536 |        536 |               hmac
import time:       877 |       1413 |             secrets
import time:     18330 |      27063 |           starlette.responses
import time:     11823 |      11823 |           starlette.websockets
import time:     18885 |     120984 |         fastapi.dependencies.utils
import time:       923 |        923 |             colorsys
import time:     18490 |      19412 |           pydantic.color
import time:      1678 |       1678 |             pydantic_extra_types
import time:       346 |       2023 |           pydantic_extra_types.color
import time:     14533 |      35967 |         fastapi.encoders
import time:     16621 |      16621 |         fastapi.sse
import time:      7544 |       7544 |           starlette._exception_handler
import time:      7105 |       7105 |           starlette.convertors
import time:     16145 |      16145 |           starlette.middleware
import time:     17450 |      48243 |         starlette.routing
import time:     10850 |      10850 |         starlette.staticfiles
import time:     30898 |    3053233 |       fastapi.routing
import time:     25196 |      25196 |         fastapi.websockets
import time:     18669 |      43865 |       fastapi.exception_handlers
import time:     45509 |      45509 |         fastapi.middleware
import time:     31294 |      76802 |       fastapi.middleware.asyncexitstack
import time:     22147 |      22147 |       fastapi.openapi.docs
import time:       590 |        590 |             email.feedparser
import time:       613 |       1202 |           email.parser
import time:      1979 |       3180 |         http.client
import time:     13252 |      13252 |         fastapi.responses
import time:     16843 |      33275 |       fastapi.openapi.utils
import time:      1247 |       1247 |             html.entities
import time:      2050 |       3296 |           html
import time:     30644 |      33940 |         starlette.middleware.errors
import time:     20096 |      20096 |         starlette.middleware.exceptions
import time:      9224 |      63258 |       starlette.applications
import time:     16950 |      16950 |       starlette.middleware.base
import time:     27160 |    3389213 |     fastapi.applications
import time:     11352 |      11352 |     fastapi.requests
import time:     23443 |    3475628 |   fastapi
import time:     23911 |      23911 |     starlette.middleware.cors
import time:     18510 |      42421 |   fastapi.middleware.cors
import time:     35888 |      35888 |     src.api.routes
import time:     32744 |      68632 |   src.api.routes.health
import time:       119 |        119 |           _heapq
import time:      1889 |       2008 |         heapq
import time:       406 |        406 |         asyncio.constants
import time:       209 |        209 |         asyncio.coroutines
import time:       331 |        331 |           asyncio.format_helpers
import time:       238 |        238 |             asyncio.base_futures
import time:       735 |        735 |             asyncio.exceptions
import time:       219 |        219 |             asyncio.base_tasks
import time:      1513 |       2703 |           _asyncio
import time:      1999 |       5033 |         asyncio.events
import time:       261 |        261 |         asyncio.futures
import time:       185 |        185 |         asyncio.protocols
import time:       364 |        364 |           asyncio.transports
import time:       151 |        151 |           asyncio.log
import time:      2106 |       2621 |         asyncio.sslproto
import time:        77 |         77 |             asyncio.mixins
import time:      1773 |       1850 |           asyncio.locks
import time:       340 |        340 |             asyncio.queues
import time:       486 |        486 |             asyncio.timeouts
import time:      1994 |       2819 |           asyncio.tasks
import time:      1120 |       5788 |         asyncio.staggered
import time:       272 |        272 |         asyncio.trsock
import time:      6064 |      22842 |       asyncio.base_events
import time:       486 |        486 |       asyncio.runners
import time:       529 |        529 |       asyncio.streams
import time:       363 |        363 |       asyncio.subprocess
import time:       218 |        218 |       asyncio.taskgroups
import time:       125 |        125 |       asyncio.threads
import time:       265 |        265 |         asyncio.base_subprocess
import time:       742 |        742 |         asyncio.selector_events
import time:      1963 |       2969 |       asyncio.unix_events
import time:      3799 |      31328 |     asyncio
import time:     27591 |      27591 |             src.core
import time:     22280 |      22280 |                 src.extractors
import time:     50312 |      72591 |               src.extractors.layout
import time:      1705 |       1705 |                 tarfile
import time:     16345 |      16345 |                   pymupdf._extra
import time:     16048 |      32392 |                 pymupdf.extra
import time:     18592 |      18592 |                   pymupdf._mupdf
import time:     89899 |     108491 |                 pymupdf.mupdf
import time:      7967 |       7967 |                 pymupdf._build
import time:       778 |        778 |                 pymupdf_fonts
import time:      8852 |       8852 |                 pymupdf._wxcolors
import time:      9912 |       9912 |                   pymupdf.pymupdf
import time:      9144 |      19056 |                 pymupdf.utils
import time:     15057 |      15057 |                 pymupdf.table
import time:     44250 |     238543 |               pymupdf
import time:     43888 |     355022 |             src.extractors.layout.layout_extractor
import time:     38353 |      38353 |             src.extractors.layout.block_detector
import time:     34298 |      34298 |                 src.registries
import time:     36420 |      70717 |               src.registries.section_registry
import time:     24874 |      95591 |             src.extractors.layout.section_detector
import time:     27940 |      27940 |             src.extractors.layout.section_parser
import time:     23149 |      23149 |             src.extractors.layout.domain_detector
import time:     36535 |      36535 |               src.extractors.contact
import time:     35133 |      71667 |             src.extractors.contact.contact_parser
import time:     34516 |      34516 |               src.extractors.skills
import time:      1837 |       1837 |               difflib
import time:     23392 |      23392 |                 src.config
import time:     49495 |      72886 |               src.config.settings
import time:    254279 |     363517 |             src.extractors.skills.skills_parser
import time:     33298 |      33298 |               src.extractors.projects
import time:     39635 |      72933 |             src.extractors.projects.project_parser
import time:     38794 |      38794 |               src.extractors.experience
import time:     62364 |     101157 |             src.extractors.experience.experience_parser
import time:     40713 |      40713 |               src.extractors.education
import time:     35419 |      76131 |             src.extractors.education.education_parser
import time:     20759 |      20759 |             src.core.quality_scoring
import time:     20551 |      20551 |             src.core.output_cleaning
import time:     24855 |      24855 |                 src.schemas.extraction
import time:     22745 |      22745 |                 src.schemas.scoring
import time:     28374 |      75973 |               src.schemas
import time:       445 |      76417 |             src.schemas.extraction
import time:     40484 |    1411254 |           src.core.pipeline
import time:     27133 |    1438387 |         src.services.extraction_service
import time:     21866 |    1460252 |       src.services
import time:       444 |    1460696 |     src.services.extraction_service
import time:     28482 |      28482 |         src.ranking.tfidf_scorer
import time:     18481 |      18481 |           src.registries.skill_registry
import time:     15125 |      33605 |         src.ranking.bm25_scorer
import time:     21132 |      21132 |         src.ranking.similarity
import time:     29012 |     112229 |       src.ranking
import time:     17385 |      17385 |       src.ranking.skill_inference
import time:     15569 |      15569 |       src.ranking.domain_classifier
import time:     25528 |     170709 |     src.ranking.scorer
import time:     32681 |      32681 |         src.infrastructure
import time:     34455 |      34455 |         src.infrastructure.models.job
import time:     26190 |      26190 |         src.infrastructure.models.document
import time:     27524 |      27524 |         src.infrastructure.models.scoring
import time:     49262 |     170109 |       src.infrastructure.models
import time:       485 |     170594 |     src.infrastructure.models.job
import time:      8144 |       8144 |                       botocore
import time:     23426 |      23426 |                       botocore.vendored
import time:     49544 |      49544 |                                   botocore.vendored.requests.packages.urllib3.exceptions
import time:     53914 |     103458 |                                 botocore.vendored.requests.packages.urllib3
import time:     38741 |     142198 |                               botocore.vendored.requests.packages
import time:       617 |     142815 |                             botocore.vendored.requests.packages.urllib3
import time:       759 |     143574 |                           botocore.vendored.requests.packages.urllib3.exceptions
import time:     28685 |     172258 |                         botocore.vendored.requests.exceptions
import time:     44500 |     216758 |                       botocore.vendored.requests
import time:     15578 |     263905 |                     botocore.exceptions
import time:     13498 |     277403 |                   boto3.exceptions
import time:       119 |        119 |                         _queue
import time:      1336 |       1455 |                       queue
import time:     14083 |      14083 |                         botocore.vendored.six
import time:     26483 |      26483 |                             dateutil._version
import time:     18369 |      44851 |                           dateutil
import time:      9481 |       9481 |                             six
import time:        83 |         83 |                             six.moves
import time:     19557 |      19557 |                             dateutil.tz._common
import time:     21375 |      21375 |                             dateutil.tz._factories
import time:        87 |         87 |                               six.moves.winreg
import time:     23638 |      23724 |                             dateutil.tz.win
import time:     27822 |     102039 |                           dateutil.tz.tz
import time:     29330 |     176220 |                         dateutil.tz
import time:     18997 |      18997 |                           urllib3.exceptions
import time:     22356 |      22356 |                                   urllib3.util.timeout
import time:     32868 |      55223 |                                 urllib3.util.connection
import time:     22666 |      22666 |                                   urllib3.util.util
import time:      1127 |       1127 |                                   brotlicffi
import time:       736 |        736 |                                   brotli
import time:      1061 |       1061 |                                   backports
import time:     25767 |      51355 |                                 urllib3.util.request
import time:     18269 |      18269 |                                 urllib3.util.response
import time:     17989 |      17989 |                                 urllib3.util.retry
import time:     24705 |      24705 |                                   urllib3.util.url
import time:     21831 |      21831 |                                   urllib3.util.ssltransport
import time:     20791 |      67327 |                                 urllib3.util.ssl_
import time:     16832 |      16832 |                                 urllib3.util.wait
import time:     33268 |     260260 |                               urllib3.util
import time:       682 |     260942 |                             urllib3.util.connection
import time:     16647 |     277589 |                           urllib3._base_connection
import time:     14220 |      14220 |                           urllib3._collections
import time:     13036 |      13036 |                           urllib3._version
import time:     15100 |      15100 |                                 urllib3.fields
import time:     15496 |      30596 |                               urllib3.filepost
import time:      1353 |       1353 |                                 brotlicffi
import time:       683 |        683 |                                 brotli
import time:     28375 |      28375 |                                   urllib3.http2
import time:     33013 |      33013 |                                   urllib3.http2.probe
import time:     16014 |      16014 |                                   urllib3.util.ssl_match_hostname
import time:     14636 |      92035 |                                 urllib3.connection
import time:       789 |        789 |                                 backports
import time:     14535 |     109394 |                               urllib3.response
import time:     18093 |     158082 |                             urllib3._request_methods
import time:     14128 |      14128 |                             urllib3.util.proxy
import time:     17366 |     189575 |                           urllib3.connectionpool
import time:     15996 |      15996 |                           urllib3.poolmanager
import time:     18022 |     547432 |                         urllib3
import time:       630 |        630 |                             xml
import time:       672 |       1302 |                           xml.etree
import time:       507 |        507 |                           xml.etree.ElementPath
import time:       153 |        153 |                             pyexpat
import time:       558 |        711 |                           _elementtree
import time:      2230 |       4749 |                         xml.etree.ElementTree
import time:      1071 |       1071 |                           awscrt
import time:       448 |       1518 |                         awscrt.auth
import time:      1092 |       1092 |                         gzip
import time:     12946 |     758036 |                       botocore.compat
import time:       371 |        371 |                               multiprocessing.process
import time:       695 |        695 |                                   _compat_pickle
import time:       160 |        160 |                                   _pickle
import time:      3118 |       3971 |                                 pickle
import time:       877 |       4847 |                               multiprocessing.reduction
import time:      1908 |       7126 |                             multiprocessing.context
import time:      1313 |       8438 |                           multiprocessing
